OCC_CODE,Commodity Title,Example
11-1011,Accounting software,Intuit QuickBooks
11-1011,Business intelligence and data analysis software,Tableau
11-1011,Cloud-based data access and sharing software,Microsoft SharePoint
11-1011,Content workflow software,Atlassian JIRA
11-1011,Customer relationship management CRM software,Salesforce software
11-1011,Data base user interface and query software,Structured query language SQL
11-1011,Document management software,Adobe Acrobat
11-1011,Electronic mail software,Microsoft Outlook
11-1011,Enterprise application integration software,Extensible markup language XML
11-1011,Enterprise resource planning ERP software,SAP software
11-1011,Graphics or photo imaging software,Adobe Photoshop
11-1011,Office suite software,Microsoft Office software
11-1011,Presentation software,Microsoft PowerPoint
11-1011,Project management software,Microsoft Project
11-1011,Spreadsheet software,Microsoft Excel
11-1011,Web page creation and editing software,Facebook
11-1011,Web platform development software,PHP
11-1011,Word processing software,Microsoft Word
11-1021,Accounting software,Intuit QuickBooks
11-1021,Analytical or scientific software,The MathWorks MATLAB
11-1021,Business intelligence and data analysis software,Tableau
11-1021,Cloud-based data access and sharing software,Slack
11-1021,Cloud-based management software,Splunk Enterprise
11-1021,Computer aided design CAD software,Autodesk AutoCAD
11-1021,Configuration management software,Puppet
11-1021,Content workflow software,Atlassian JIRA
11-1021,Customer relationship management CRM software,Salesforce software
11-1021,Data base management system software,Teradata Database
11-1021,Data base user interface and query software,Yardi software
11-1021,Data mining software,Google Analytics
11-1021,Development environment software,Microsoft Visual Basic for Applications VBA
11-1021,Document management software,Adobe Acrobat
11-1021,Electronic mail software,Microsoft Outlook
11-1021,Enterprise application integration software,Extensible markup language XML
11-1021,Enterprise resource planning ERP software,SAP software
11-1021,Graphics or photo imaging software,Adobe Photoshop
11-1021,Object or component oriented development software,R
11-1021,Object oriented data base management software,PostgreSQL
11-1021,Office suite software,Microsoft Office software
11-1021,Operating system software,Shell script
11-1021,Presentation software,Microsoft PowerPoint
11-1021,Process mapping and design software,Microsoft Visio
11-1021,Project management software,Oracle Primavera Enterprise Project Portfolio Management
11-1021,Sales and marketing software,Marketo Marketing Automation
11-1021,Spreadsheet software,Microsoft Excel
11-1021,Time accounting software,Kronos Workforce Timekeeper
11-1021,Web page creation and editing software,Facebook
11-1021,Word processing software,Microsoft Word
11-1031,Cloud-based data access and sharing software,Microsoft SharePoint
11-1031,Data base user interface and query software,Structured query language SQL
11-1031,Development environment software,Microsoft Visual Basic
11-1031,Document management software,Adobe Acrobat
11-1031,Electronic mail software,Microsoft Outlook
11-1031,Office suite software,Microsoft Office software
11-1031,Spreadsheet software,Microsoft Excel
11-1031,Video conferencing software,Cisco Webex
11-1031,Word processing software,Microsoft Word
11-2011,Analytical or scientific software,Google Analytics
11-2011,Business intelligence and data analysis software,Tableau
11-2011,Cloud-based data access and sharing software,Microsoft SharePoint
11-2011,Customer relationship management CRM software,Salesforce software
11-2011,Data base management system software,Microsoft SQL Server
11-2011,Data base user interface and query software,Microsoft Access
11-2011,Desktop publishing software,Adobe InDesign
11-2011,Document management software,Adobe Acrobat
11-2011,Electronic mail software,Microsoft Outlook
11-2011,Enterprise application integration software,Extensible markup language XML
11-2011,Enterprise resource planning ERP software,SAP software
11-2011,Graphics or photo imaging software,Adobe Photoshop
11-2011,Office suite software,Microsoft Office software
11-2011,Operating system software,Microsoft Windows
11-2011,Presentation software,Microsoft PowerPoint
11-2011,Project management software,Microsoft Project
11-2011,Sales and marketing software,Marketo Marketing Automation
11-2011,Spreadsheet software,Microsoft Excel
11-2011,Video creation and editing software,Adobe After Effects
11-2011,Web page creation and editing software,WordPress
11-2011,Web platform development software,JavaScript
11-2011,Word processing software,Microsoft Word
11-2021,Accounting software,Intuit QuickBooks
11-2021,Analytical or scientific software,The MathWorks MATLAB
11-2021,Application server software,GitHub
11-2021,Business intelligence and data analysis software,Tableau
11-2021,Cloud-based data access and sharing software,Slack
11-2021,Cloud-based management software,Splunk Enterprise
11-2021,Content workflow software,Atlassian JIRA
11-2021,Customer relationship management CRM software,Salesforce software
11-2021,Data base management system software,Teradata Database
11-2021,Data base user interface and query software,Yardi software
11-2021,Data mining software,Google Analytics
11-2021,Desktop publishing software,Adobe InDesign
11-2021,Development environment software,Ruby
11-2021,Document management software,Adobe Acrobat
11-2021,Electronic mail software,Microsoft Outlook
11-2021,Enterprise application integration software,Extensible markup language XML
11-2021,Enterprise resource planning ERP software,SAP software
11-2021,Graphical user interface development software,Figma
11-2021,Graphics or photo imaging software,Canva
11-2021,Object or component oriented development software,Swift
11-2021,Office suite software,Microsoft Office software
11-2021,Operating system software,Apple macOS
11-2021,Presentation software,Microsoft PowerPoint
11-2021,Process mapping and design software,Microsoft Visio
11-2021,Project management software,Microsoft Teams
11-2021,Sales and marketing software,Marketo Marketing Automation
11-2021,Spreadsheet software,Microsoft Excel
11-2021,Video creation and editing software,TikTok
11-2021,Web page creation and editing software,WordPress
11-2021,Web platform development software,Ruby on Rails
11-2021,Word processing software,Microsoft Word
11-2022,Analytical or scientific software,SAS
11-2022,Business intelligence and data analysis software,Tableau
11-2022,Cloud-based data access and sharing software,Microsoft SharePoint
11-2022,Cloud-based management software,Splunk Enterprise
11-2022,Computer aided design CAD software,Bentley MicroStation
11-2022,Customer relationship management CRM software,Salesforce software
11-2022,Data base management system software,Teradata Database
11-2022,Data base user interface and query software,Yardi software
11-2022,Data mining software,Google Analytics
11-2022,Development environment software,Microsoft Visual Basic for Applications VBA
11-2022,Document management software,Adobe Acrobat
11-2022,Electronic mail software,Microsoft Outlook
11-2022,Enterprise resource planning ERP software,SAP software
11-2022,Graphics or photo imaging software,Adobe Creative Cloud software
11-2022,Object or component oriented development software,R
11-2022,Office suite software,Microsoft Office software
11-2022,Operating system software,Microsoft Windows
11-2022,Presentation software,Microsoft PowerPoint
11-2022,Process mapping and design software,Microsoft Visio
11-2022,Project management software,Oracle Primavera Enterprise Project Portfolio Management
11-2022,Sales and marketing software,Marketo Marketing Automation
11-2022,Spreadsheet software,Microsoft Excel
11-2022,Video conferencing software,Zoom
11-2022,Web page creation and editing software,Facebook
11-2022,Web platform development software,Hypertext markup language HTML
11-2022,Word processing software,Microsoft Word
11-2032,Cloud-based data access and sharing software,Slack
11-2032,Customer relationship management CRM software,Salesforce software
11-2032,Data base management system software,Teradata Database
11-2032,Data base user interface and query software,Yardi software
11-2032,Data mining software,Google Analytics
11-2032,Desktop publishing software,Adobe InDesign
11-2032,Document management software,Adobe Acrobat
11-2032,Electronic mail software,Microsoft Outlook
11-2032,Enterprise resource planning ERP software,Microsoft Dynamics
11-2032,Graphics or photo imaging software,Canva
11-2032,Office suite software,Microsoft Office software
11-2032,Presentation software,Microsoft PowerPoint
11-2032,Project management software,Microsoft Project
11-2032,Sales and marketing software,Marketo Marketing Automation
11-2032,Spreadsheet software,Microsoft Excel
11-2032,Video conferencing software,Zoom
11-2032,Video creation and editing software,TikTok
11-2032,Web page creation and editing software,WordPress
11-2032,Web platform development software,Hypertext markup language HTML
11-2032,Word processing software,Microsoft Word
11-2033,Cloud-based data access and sharing software,Slack
11-2033,Customer relationship management CRM software,Salesforce software
11-2033,Data base management system software,Teradata Database
11-2033,Data base user interface and query software,Yardi software
11-2033,Data mining software,Google Analytics
11-2033,Desktop publishing software,Adobe InDesign
11-2033,Document management software,Adobe Acrobat
11-2033,Electronic mail software,Microsoft Outlook
11-2033,Enterprise resource planning ERP software,Microsoft Dynamics
11-2033,Graphics or photo imaging software,Adobe Photoshop
11-2033,Office suite software,Microsoft Office software
11-2033,Presentation software,Microsoft PowerPoint
11-2033,Project management software,Microsoft Project
11-2033,Sales and marketing software,Marketo Marketing Automation
11-2033,Spreadsheet software,Microsoft Excel
11-2033,Video creation and editing software,Adobe After Effects
11-2033,Web page creation and editing software,Facebook
11-2033,Web platform development software,Hypertext markup language HTML
11-2033,Word processing software,Microsoft Word
11-3012,Accounting software,Intuit QuickBooks
11-3012,Analytical or scientific software,SAS
11-3012,Cloud-based data access and sharing software,Microsoft SharePoint
11-3012,Computer aided design CAD software,Autodesk AutoCAD
11-3012,Content workflow software,Atlassian JIRA
11-3012,Data base management system software,Teradata Database
11-3012,Data base user interface and query software,Yardi software
11-3012,Document management software,Adobe Acrobat
11-3012,Electronic mail software,Microsoft Outlook
11-3012,Enterprise resource planning ERP software,SAP software
11-3012,Object or component oriented development software,R
11-3012,Office suite software,Microsoft Office software
11-3012,Presentation software,Microsoft PowerPoint
11-3012,Process mapping and design software,Microsoft Visio
11-3012,Project management software,Oracle Primavera Enterprise Project Portfolio Management
11-3012,Spreadsheet software,Microsoft Excel
11-3012,Word processing software,Microsoft Word
11-3013,Accounting software,Intuit QuickBooks
11-3013,Cloud-based data access and sharing software,Microsoft SharePoint
11-3013,Computer aided design CAD software,Autodesk Revit
11-3013,Data base management system software,Teradata Database
11-3013,Data base user interface and query software,Yardi software
11-3013,Development environment software,Microsoft Azure software
11-3013,Document management software,Adobe Acrobat
11-3013,Electronic mail software,Microsoft Outlook
11-3013,Enterprise resource planning ERP software,SAP software
11-3013,Office suite software,Microsoft Office software
11-3013,Presentation software,Microsoft PowerPoint
11-3013,Process mapping and design software,Microsoft Visio
11-3013,Project management software,Oracle Primavera Enterprise Project Portfolio Management
11-3013,Spreadsheet software,Microsoft Excel
11-3013,Web page creation and editing software,Facebook
11-3013,Word processing software,Microsoft Word
11-3021,Analytical or scientific software,The MathWorks MATLAB
11-3021,Application server software,Microsoft Windows Server
11-3021,Business intelligence and data analysis software,Tableau
11-3021,Cloud-based data access and sharing software,Microsoft SharePoint
11-3021,Cloud-based management software,Splunk Enterprise
11-3021,Configuration management software,Puppet
11-3021,Content workflow software,Atlassian JIRA
11-3021,Data base management system software,Teradata Database
11-3021,Data base user interface and query software,Structured query language SQL
11-3021,Data mining software,Google Analytics
11-3021,Development environment software,Microsoft Visual Studio
11-3021,Electronic mail software,Microsoft Outlook
11-3021,Enterprise application integration software,Extensible markup language XML
11-3021,Enterprise resource planning ERP software,SAP software
11-3021,Object or component oriented development software,R
11-3021,Object oriented data base management software,PostgreSQL
11-3021,Office suite software,Microsoft Office software
11-3021,Operating system software,UNIX
11-3021,Presentation software,Microsoft PowerPoint
11-3021,Process mapping and design software,Microsoft Visio
11-3021,Project management software,Microsoft Project
11-3021,Spreadsheet software,Microsoft Excel
11-3021,Web platform development software,Spring Framework
11-3021,Word processing software,Microsoft Word
11-3031,Accounting software,Intuit QuickBooks
11-3031,Analytical or scientific software,SAS
11-3031,Business intelligence and data analysis software,Tableau
11-3031,Cloud-based data access and sharing software,Microsoft SharePoint
11-3031,Customer relationship management CRM software,Salesforce software
11-3031,Data base management system software,Teradata Database
11-3031,Data base user interface and query software,Yardi software
11-3031,Development environment software,Microsoft Visual Basic for Applications VBA
11-3031,Document management software,Adobe Acrobat
11-3031,Electronic mail software,Microsoft Outlook
11-3031,Enterprise resource planning ERP software,Workday software
11-3031,Object or component oriented development software,R
11-3031,Office suite software,Microsoft Office software
11-3031,Operating system software,Microsoft Windows
11-3031,Presentation software,Microsoft PowerPoint
11-3031,Process mapping and design software,Microsoft Visio
11-3031,Project management software,Oracle Primavera Enterprise Project Portfolio Management
11-3031,Sales and marketing software,Marketo Marketing Automation
11-3031,Spreadsheet software,Microsoft Excel
11-3031,Web platform development software,Hypertext markup language HTML
11-3031,Word processing software,Microsoft Word
11-3051,Accounting software,Intuit QuickBooks
11-3051,Computer aided design CAD software,Autodesk AutoCAD
11-3051,Content workflow software,Atlassian JIRA
11-3051,Data base management system software,Microsoft SQL Server
11-3051,Data base user interface and query software,Structured query language SQL
11-3051,Desktop publishing software,Adobe InDesign
11-3051,Development environment software,Apache Kafka
11-3051,Document management software,Adobe Acrobat
11-3051,Electronic mail software,Microsoft Outlook
11-3051,Enterprise application integration software,Extensible markup language XML
11-3051,Enterprise resource planning ERP software,SAP software
11-3051,Graphics or photo imaging software,Adobe Photoshop
11-3051,Object or component oriented development software,Oracle Java
11-3051,Office suite software,Microsoft Office software
11-3051,Operating system software,Linux
11-3051,Presentation software,Microsoft PowerPoint
11-3051,Process mapping and design software,Microsoft Visio
11-3051,Program testing software,Selenium
11-3051,Project management software,Microsoft Project
11-3051,Spreadsheet software,Microsoft Excel
11-3051,Video creation and editing software,Adobe After Effects
11-3051,Web platform development software,Microsoft Active Server Pages ASP
11-3051,Word processing software,Microsoft Word
11-3061,Cloud-based data access and sharing software,Microsoft SharePoint
11-3061,Data base user interface and query software,Oracle Database
11-3061,Electronic mail software,Microsoft Outlook
11-3061,Enterprise resource planning ERP software,SAP software
11-3061,Office suite software,Microsoft Office software
11-3061,Presentation software,Microsoft PowerPoint
11-3061,Process mapping and design software,Microsoft Visio
11-3061,Procurement software,Purchasing software
11-3061,Project management software,Microsoft Project
11-3061,Spreadsheet software,Microsoft Excel
11-3061,Word processing software,Microsoft Word
11-3071,Cloud-based data access and sharing software,Microsoft SharePoint
11-3071,Computer aided design CAD software,Bentley MicroStation
11-3071,Data base user interface and query software,Structured query language SQL
11-3071,Electronic mail software,Microsoft Outlook
11-3071,Enterprise resource planning ERP software,SAP software
11-3071,Inventory management software,Inventory management systems
11-3071,Materials requirements planning logistics and supply chain software,Warehouse management system WMS
11-3071,Medical software,MEDITECH software
11-3071,Office suite software,Microsoft Office software
11-3071,Presentation software,Microsoft PowerPoint
11-3071,Process mapping and design software,Microsoft Visio
11-3071,Project management software,Oracle Primavera Enterprise Project Portfolio Management
11-3071,Spreadsheet software,Microsoft Excel
11-3071,Word processing software,Microsoft Word
11-3111,Accounting software,Intuit QuickBooks
11-3111,Cloud-based data access and sharing software,Microsoft SharePoint
11-3111,Data base user interface and query software,Structured query language SQL
11-3111,Electronic mail software,Microsoft Outlook
11-3111,Enterprise resource planning ERP software,Workday software
11-3111,Graphics or photo imaging software,Adobe Photoshop
11-3111,Human resources software,Oracle HRIS
11-3111,Office suite software,Microsoft Office software
11-3111,Presentation software,Microsoft PowerPoint
11-3111,Process mapping and design software,Microsoft Visio
11-3111,Project management software,Microsoft Project
11-3111,Spreadsheet software,Microsoft Excel
11-3111,Word processing software,Microsoft Word
11-3121,Accounting software,Intuit QuickBooks
11-3121,Analytical or scientific software,IBM SPSS Statistics
11-3121,Data base user interface and query software,Microsoft Access
11-3121,Electronic mail software,Microsoft Outlook
11-3121,Enterprise resource planning ERP software,Workday software
11-3121,Human resources software,Oracle HRIS
11-3121,Office suite software,Microsoft Office software
11-3121,Presentation software,Microsoft PowerPoint
11-3121,Process mapping and design software,Microsoft Visio
11-3121,Project management software,Microsoft Project
11-3121,Spreadsheet software,Microsoft Excel
11-3121,Time accounting software,Kronos Workforce Timekeeper
11-3121,Web page creation and editing software,Facebook
11-3121,Word processing software,Microsoft Word
11-3131,Computer based training software,Learning management system LMS
11-3131,Data base management system software,Apache Cassandra
11-3131,Development environment software,Microsoft Visual Basic
11-3131,Document management software,Adobe Acrobat
11-3131,Electronic mail software,Microsoft Outlook
11-3131,Enterprise resource planning ERP software,Oracle PeopleSoft
11-3131,Graphics or photo imaging software,Adobe Photoshop
11-3131,Medical software,Epic Systems
11-3131,Office suite software,Microsoft Office software
11-3131,Presentation software,Microsoft PowerPoint
11-3131,Project management software,Microsoft Project
11-3131,Spreadsheet software,Microsoft Excel
11-3131,Video conferencing software,Cisco Webex
11-3131,Web platform development software,JavaScript
11-3131,Word processing software,Microsoft Word
11-9013,Cloud-based data access and sharing software,Atlassian Confluence
11-9013,Data base user interface and query software,Microsoft Access
11-9013,Electronic mail software,Microsoft Outlook
11-9013,Enterprise resource planning ERP software,SAP software
11-9013,Graphics or photo imaging software,Adobe Photoshop
11-9013,Office suite software,Microsoft Office software
11-9013,Presentation software,Microsoft PowerPoint
11-9013,Process mapping and design software,Microsoft Visio
11-9013,Spreadsheet software,Microsoft Excel
11-9013,Web page creation and editing software,Facebook
11-9013,Word processing software,Microsoft Word
11-9021,Analytical or scientific software,Procore software
11-9021,Cloud-based data access and sharing software,Microsoft SharePoint
11-9021,Computer aided design CAD software,Autodesk Revit
11-9021,Data base user interface and query software,Yardi software
11-9021,Document management software,Adobe Acrobat
11-9021,Electronic mail software,Microsoft Outlook
11-9021,Enterprise resource planning ERP software,SAP software
11-9021,Graphics or photo imaging software,Trimble SketchUp Pro
11-9021,Office suite software,Microsoft Office software
11-9021,Presentation software,Microsoft PowerPoint
11-9021,Process mapping and design software,Microsoft Visio
11-9021,Project management software,Project management software
11-9021,Spreadsheet software,Microsoft Excel
11-9021,Word processing software,Microsoft Word
11-9031,Accounting software,Intuit QuickBooks
11-9031,Electronic mail software,Microsoft Outlook
11-9031,Office suite software,Microsoft Office software
11-9031,Presentation software,Microsoft PowerPoint
11-9031,Spreadsheet software,Microsoft Excel
11-9031,Word processing software,Microsoft Word
11-9032,Analytical or scientific software,The MathWorks MATLAB
11-9032,Cloud-based data access and sharing software,Microsoft SharePoint
11-9032,Data base management system software,Apache Cassandra
11-9032,Data base user interface and query software,Microsoft Access
11-9032,Electronic mail software,Microsoft Outlook
11-9032,Office suite software,Microsoft Office software
11-9032,Presentation software,Microsoft PowerPoint
11-9032,Spreadsheet software,Microsoft Excel
11-9032,Word processing software,Microsoft Word
11-9033,Analytical or scientific software,SAS
11-9033,Cloud-based data access and sharing software,Microsoft SharePoint
11-9033,Data base user interface and query software,Student information systems SIS software
11-9033,Electronic mail software,Microsoft Outlook
11-9033,Enterprise resource planning ERP software,SAP software
11-9033,Office suite software,Microsoft Office software
11-9033,Presentation software,Microsoft PowerPoint
11-9033,Process mapping and design software,Microsoft Visio
11-9033,Project management software,Microsoft Project
11-9033,Spreadsheet software,Microsoft Excel
11-9033,Web page creation and editing software,Facebook
11-9033,Web platform development software,Hypertext markup language HTML
11-9033,Word processing software,Microsoft Word
11-9041,Analytical or scientific software,The MathWorks MATLAB
11-9041,Application server software,GitHub
11-9041,Cloud-based management software,Splunk Enterprise
11-9041,Computer aided design CAD software,Dassault Systemes SolidWorks
11-9041,Configuration management software,Puppet
11-9041,Content workflow software,Atlassian JIRA
11-9041,Data base management system software,Teradata Database
11-9041,Data base user interface and query software,Structured query language SQL
11-9041,Development environment software,Ruby
11-9041,Electronic mail software,Microsoft Outlook
11-9041,Enterprise application integration software,Microsoft SQL Server Integration Services SSIS
11-9041,Enterprise resource planning ERP software,SAP software
11-9041,Expert system software,Ansible software
11-9041,File versioning software,Git
11-9041,Geographic information system,ESRI ArcGIS software
11-9041,Graphics or photo imaging software,Trimble SketchUp Pro
11-9041,Medical software,Epic Systems
11-9041,Object or component oriented development software,Swift
11-9041,Object oriented data base management software,PostgreSQL
11-9041,Office suite software,Microsoft Office software
11-9041,Operating system software,UNIX
11-9041,Presentation software,Microsoft PowerPoint
11-9041,Process mapping and design software,Microsoft Visio
11-9041,Project management software,Oracle Primavera Enterprise Project Portfolio Management
11-9041,Spreadsheet software,Microsoft Excel
11-9041,Time accounting software,Kronos Workforce Timekeeper
11-9041,Web platform development software,Ruby on Rails
11-9041,Word processing software,Microsoft Word
11-9051,Accounting software,Intuit QuickBooks
11-9051,Electronic mail software,Microsoft Outlook
11-9051,Enterprise resource planning ERP software,Microsoft Dynamics
11-9051,Office suite software,Microsoft Office software
11-9051,Presentation software,Microsoft PowerPoint
11-9051,Project management software,Microsoft Project
11-9051,Spreadsheet software,Microsoft Excel
11-9051,Web page creation and editing software,Facebook
11-9051,Word processing software,Microsoft Word
11-9071,Electronic mail software,Microsoft Outlook
11-9071,Office suite software,Microsoft Office software
11-9071,Presentation software,Microsoft PowerPoint
11-9071,Spreadsheet software,Microsoft Excel
11-9071,Word processing software,Microsoft Word
11-9072,Accounting software,Intuit QuickBooks
11-9072,Analytical or scientific software,SAS
11-9072,Cloud-based data access and sharing software,Slack
11-9072,Customer relationship management CRM software,Salesforce software
11-9072,Data base user interface and query software,Oracle Database
11-9072,Development environment software,Microsoft Visual Basic for Applications VBA
11-9072,Document management software,Adobe Acrobat
11-9072,Electronic mail software,Microsoft Outlook
11-9072,Enterprise resource planning ERP software,SAP software
11-9072,Office suite software,Microsoft Office software
11-9072,Operating system software,Microsoft Windows
11-9072,Presentation software,Microsoft PowerPoint
11-9072,Process mapping and design software,Microsoft Visio
11-9072,Project management software,Oracle Primavera Enterprise Project Portfolio Management
11-9072,Sales and marketing software,Marketo Marketing Automation
11-9072,Spreadsheet software,Microsoft Excel
11-9072,Video conferencing software,Cisco Webex
11-9072,Web page creation and editing software,Facebook
11-9072,Word processing software,Microsoft Word
11-9081,Data base user interface and query software,Microsoft Access
11-9081,Electronic mail software,Microsoft Outlook
11-9081,Office suite software,Microsoft Office software
11-9081,Presentation software,Microsoft PowerPoint
11-9081,Spreadsheet software,Microsoft Excel
11-9081,Web page creation and editing software,Facebook
11-9081,Word processing software,Microsoft Word
11-9111,Accounting software,Intuit QuickBooks
11-9111,Analytical or scientific software,SAS
11-9111,Business intelligence and data analysis software,Tableau
11-9111,Cloud-based data access and sharing software,Microsoft SharePoint
11-9111,Computer aided design CAD software,Autodesk Revit
11-9111,Customer relationship management CRM software,Salesforce software
11-9111,Data base management system software,Teradata Database
11-9111,Data base reporting software,Microsoft SQL Server Reporting Services SSRS
11-9111,Data base user interface and query software,Yardi software
11-9111,Development environment software,Microsoft Visual Basic
11-9111,Document management software,Adobe Acrobat
11-9111,Electronic mail software,Microsoft Outlook
11-9111,Enterprise application integration software,Microsoft SQL Server Integration Services SSIS
11-9111,Enterprise resource planning ERP software,Oracle PeopleSoft
11-9111,Graphics or photo imaging software,Trimble SketchUp Pro
11-9111,Medical software,eClinicalWorks EHR software
11-9111,Object or component oriented development software,R
11-9111,Office suite software,Microsoft Office software
11-9111,Operating system software,Microsoft Windows
11-9111,Presentation software,Microsoft PowerPoint
11-9111,Process mapping and design software,Microsoft Visio
11-9111,Project management software,Oracle Primavera Enterprise Project Portfolio Management
11-9111,Sales and marketing software,Marketo Marketing Automation
11-9111,Spreadsheet software,Microsoft Excel
11-9111,Video conferencing software,Cisco Webex
11-9111,Web page creation and editing software,Facebook
11-9111,Word processing software,Microsoft Word
11-9121,Analytical or scientific software,The MathWorks MATLAB
11-9121,Cloud-based data access and sharing software,Microsoft SharePoint
11-9121,Computer aided design CAD software,Autodesk AutoCAD
11-9121,Data base management system software,Oracle Database
11-9121,Data base user interface and query software,Structured query language SQL
11-9121,Document management software,Adobe Acrobat
11-9121,Electronic mail software,Microsoft Outlook
11-9121,Enterprise resource planning ERP software,SAP software
11-9121,Geographic information system,Geographic information system GIS systems
11-9121,Graphics or photo imaging software,Adobe Photoshop
11-9121,Object or component oriented development software,R
11-9121,Office suite software,Microsoft Office software
11-9121,Presentation software,Microsoft PowerPoint
11-9121,Process mapping and design software,Microsoft Visio
11-9121,Project management software,Microsoft Project
11-9121,Spreadsheet software,Microsoft Excel
11-9121,Word processing software,Microsoft Word
11-9131,Enterprise resource planning ERP software,SAP software
11-9131,Office suite software,Microsoft Office software
11-9131,Operating system software,Microsoft Windows
11-9131,Presentation software,Microsoft PowerPoint
11-9131,Spreadsheet software,Microsoft Excel
11-9131,Word processing software,Microsoft Word
11-9141,Accounting software,Intuit QuickBooks
11-9141,Data base user interface and query software,Yardi software
11-9141,Data mining software,Google Analytics
11-9141,Electronic mail software,Microsoft Outlook
11-9141,Enterprise resource planning ERP software,Microsoft Dynamics
11-9141,Office suite software,Microsoft Office software
11-9141,Operating system software,Microsoft Windows
11-9141,Presentation software,Microsoft PowerPoint
11-9141,Project management software,Microsoft Project
11-9141,Spreadsheet software,Microsoft Excel
11-9141,Web page creation and editing software,Facebook
11-9141,Web platform development software,Hypertext markup language HTML
11-9141,Word processing software,Microsoft Word
11-9151,Data base user interface and query software,Microsoft Access
11-9151,Electronic mail software,Microsoft Outlook
11-9151,Enterprise resource planning ERP software,Microsoft Dynamics
11-9151,Office suite software,Microsoft Office software
11-9151,Presentation software,Microsoft PowerPoint
11-9151,Project management software,Microsoft Project
11-9151,Spreadsheet software,Microsoft Excel
11-9151,Word processing software,Microsoft Word
11-9161,Cloud-based data access and sharing software,Microsoft SharePoint
11-9161,Electronic mail software,Microsoft Outlook
11-9161,Geographic information system,ESRI ArcGIS software
11-9161,Office suite software,Microsoft Office software
11-9161,Presentation software,Microsoft PowerPoint
11-9161,Spreadsheet software,Microsoft Excel
11-9161,Word processing software,Microsoft Word
11-9171,Electronic mail software,Microsoft Outlook
11-9171,Office suite software,Microsoft Office software
11-9171,Presentation software,Microsoft PowerPoint
11-9171,Spreadsheet software,Microsoft Excel
11-9171,Word processing software,Microsoft Word
11-9179,Document management software,Adobe Acrobat
11-9179,Electronic mail software,Microsoft Outlook
11-9179,Office suite software,Microsoft Office software
11-9179,Operating system software,Microsoft Windows
11-9179,Presentation software,Microsoft PowerPoint
11-9179,Spreadsheet software,Microsoft Excel
11-9179,Web page creation and editing software,Facebook
11-9179,Word processing software,Microsoft Word
11-9199,Business intelligence and data analysis software,Tableau
11-9199,Cloud-based data access and sharing software,Microsoft SharePoint
11-9199,Computer aided design CAD software,Autodesk AutoCAD
11-9199,Customer relationship management CRM software,Salesforce software
11-9199,Data base user interface and query software,Structured query language SQL
11-9199,Development environment software,Microsoft PowerShell
11-9199,Document management software,Adobe Acrobat
11-9199,Electronic mail software,Microsoft Outlook
11-9199,Enterprise application integration software,Enterprise application integration EAI software
11-9199,Enterprise resource planning ERP software,SAP software
11-9199,Geographic information system,ESRI ArcGIS software
11-9199,Object or component oriented development software,Python
11-9199,Object oriented data base management software,PostgreSQL
11-9199,Office suite software,Microsoft Office software
11-9199,Operating system software,Microsoft Windows
11-9199,Presentation software,Microsoft PowerPoint
11-9199,Process mapping and design software,Microsoft Visio
11-9199,Project management software,Microsoft Project
11-9199,Spreadsheet software,Microsoft Excel
11-9199,Word processing software,Microsoft Word
13-1011,Customer relationship management CRM software,Salesforce software
13-1011,Electronic mail software,Microsoft Outlook
13-1011,Graphics or photo imaging software,Adobe Photoshop
13-1011,Office suite software,Microsoft Office software
13-1011,Operating system software,Apple macOS
13-1011,Presentation software,Microsoft PowerPoint
13-1011,Spreadsheet software,Microsoft Excel
13-1011,Video conferencing software,Zoom
13-1011,Web page creation and editing software,Facebook
13-1011,Word processing software,Microsoft Word
13-1021,Customer relationship management CRM software,Salesforce software
13-1021,Data base user interface and query software,Oracle Database
13-1021,Electronic mail software,Microsoft Outlook
13-1021,Enterprise resource planning ERP software,SAP software
13-1021,Office suite software,Microsoft Office software
13-1021,Presentation software,Microsoft PowerPoint
13-1021,Project management software,Microsoft Project
13-1021,Spreadsheet software,Microsoft Excel
13-1021,Web platform development software,Google Angular
13-1021,Word processing software,Microsoft Word
13-1022,Accounting software,Intuit QuickBooks
13-1022,Cloud-based data access and sharing software,Microsoft SharePoint
13-1022,Data base user interface and query software,Oracle Database
13-1022,Development environment software,Eclipse IDE
13-1022,Electronic mail software,Microsoft Outlook
13-1022,Enterprise resource planning ERP software,SAP software
13-1022,Office suite software,Microsoft Office software
13-1022,Operating system software,Microsoft Windows
13-1022,Presentation software,Microsoft PowerPoint
13-1022,Project management software,Microsoft Project
13-1022,Spreadsheet software,Microsoft Excel
13-1022,Web page creation and editing software,Facebook
13-1022,Word processing software,Microsoft Word
13-1023,Accounting software,Intuit QuickBooks
13-1023,Cloud-based data access and sharing software,Microsoft SharePoint
13-1023,Data base user interface and query software,Oracle Database
13-1023,Document management software,Adobe Acrobat
13-1023,Electronic mail software,Microsoft Outlook
13-1023,Enterprise resource planning ERP software,SAP software
13-1023,Office suite software,Microsoft Office software
13-1023,Presentation software,Microsoft PowerPoint
13-1023,Process mapping and design software,Microsoft Visio
13-1023,Project management software,Oracle Primavera Enterprise Project Portfolio Management
13-1023,Spreadsheet software,Microsoft Excel
13-1023,Word processing software,Microsoft Word
13-1031,Data base user interface and query software,Xactware Xactimate
13-1031,Electronic mail software,Microsoft Outlook
